,STATE,VCR,PCR,FEMA,TEMP,PRECIP
AL,Alabama,427.40,3177.60,783.00,54.30,57.65
AK,Alaska,635.80,2760.00,126.00,34.80,37.55
AZ,Arizona,399.90,3197.50,134.00,64.70,11.83
AR,Arkansas,480.10,3338.00,973.00,58.50,48.22
CA,California,396.10,2441.10,692.00,60.80,20.62
CO,Colorado,309.10,2530.10,233.00,55.90,16.58
CT,Connecticut,236.90,1920.40,98.00,48.60,47.82
DE,Delaware,489.10,2982.00,27.00,54.50,45.65
FL,Florida,540.50,3415.50,1015.00,72.40,56.37
GA,Georgia,377.30,3281.20,756.00,62.10,51.56
HI,Hawaii,259.20,3050.00,40.00,62.50,42.29
ID,Idaho,212.20,1854.80,140.00,47.50,20.41
IL,Illinois,370.00,2075.90,779.00,49.40,41.76
IN,Indiana,365.30,2649.40,912.00,49.40,44.18
IA,Iowa,273.50,2093.80,1280.00,45.50,39.42
KA,Kansas,348.60,2735.20,981.00,53.10,25.85
KY,Kentucky,211.60,2246.90,1509.00,54.20,47.07
LA,Louisiana,514.70,3458.80,952.00,65.10,56.48
ME,Maine,127.80,1986.40,259.00,42.40,51.97
MD,Maryland,446.10,2507.50,257.00,45.30,44.19
MA,Massachusetts,391.40,1857.10,188.00,47.20,51.88
MI,Michigan,427.30,2043.90,278.00,42.30,37.66
MN,Minnesota,229.10,2297.50,968.00,39.40,30.55
MS,Mississippi,278.50,2921.20,965.00,62.20,58.84
MO,Missouri ,442.90,2906.50,1461.00,53.30,39.73
MT,Montana,323.70,2472.90,266.00,43.10,18.03
NE,Nebraska,280.40,2523.50,903.00,42.90,25.90
NV,Nevada,635.60,2625.40,32.00,56.40,7.59
NH,New Hampshire,196.10,1962.70,154.00,83.70,50.13
NY,New Jersey,261.20,1734.10,296.00,52.40,52.44
NM,New Mexico,597.40,3542.30,197.00,54.70,12.52
NY,New York,381.80,1718.20,763.00,45.10,44.25
NC,North Carolina,329.50,2873.10,785.00,58.00,50.50
ND,North Dakota,265.10,2110.30,960.00,39.00,19.39
OH,Ohio,284.90,2799.10,677.00,49.10,39.55
OK,Oklahoma,406.00,2990.70,1221.00,58.80,28.65
OR,Oregon,232.30,2879.00,251.00,51.50,39.87
PA,Pennsylvania,314.10,1931.70,723.00,47.50,42.22
RI,Rhode Island,219.20,2173.60,40.00,49.80,48.64
SC,South Carolina,497.70,3460.30,209.00,60.80,48.79
SD,South Dakota,326.50,1863.90,770.00,43.80,20.56
TN,Tennessee,608.40,3060.60,988.00,56.20,55.44
TX,Texas,405.90,3019.40,1954.00,66.10,25.30
UT,Utah,215.60,2878.50,79.00,52.20,12.69
VT,Vermont,99.30,1524.40,212.00,42.60,43.38
VA,Virginia,196.20,1930.30,1367.00,54.10,43.48
WA,Washington,285.20,3706.10,490.00,50.30,47.93
WV,West Virginia,302.00,2034.70,705.00,50.80,41.81
WI,Wisconsin,290.30,2088.30,470.00,40.90,36.84
WY,Wyoming,195.50,1964.70,40.00,42.70,15.94
